1-star,3-star,5-star
1,0.00285558879521349,0.018123238018526,0.0224481152054214
2,0.00163176502583628,0.000939723452812458,0.000847098686997035
3,0.00231166711993473,0.00751778762249966,0.00635324015247776
4,0.00571117759042698,0.0171835145657135,0.165043060849922
5,0.0431057927658417,0.0712847362062022,0.0612734716927855
6,0.00462333423986946,0.00483286347160693,0.00211774671749259
7,0.0103345118302964,0.0361122298295073,0.0629676690667796
8,0.00938264889855861,0.029936904282454,0.024848228151913
9,0.0142779439760674,0.0346355215465163,0.0399548214033602
10,0.0182213761218385,0.0361122298295073,0.0424961174643513
11,0.00285558879521349,0.00536984830178547,0.00889453621346887
12,0.00067990209409845,0.000134246207544637,0.000423549343498518
13,0.494016861571934,0.182037857430528,0.0625441197232811
14,0.00979059015501768,0.0245670559806685,0.0129888465339545
15,0.00067990209409845,0.000134246207544637,0.000847098686997035
16,0.00190372586347566,0.00563834071687475,0.00494140900748271
17,0.0459613815610552,0.130487313733387,0.0868276154171961
18,0.0149578460701659,0.0567861457913814,0.0522377523648172
19,0.0266521620886592,0.0491341119613371,0.0427784836933503
20,0.00299156921403318,0.0051013558866962,0.00338839474798814
21,0.00897470764209954,0.0120821586790173,0.0107299167019624
22,0.0198531411476747,0.083903879715398,0.0375547084568686
23,0.00190372586347566,0.00402738622633911,0.0101651842439644
24,0.00149578460701659,0.00389314001879447,0.00945926867146689
25,0.119254827304868,0.0354409987917841,0.00409431032048567
26,0.00720696219744357,0.0087260034904014,0.0104475504729634
27,0.0881153113951591,0.0310108739428111,0.0272483410984046
28,0.0131901006255099,0.0487313733387032,0.128759000423549
29,0.0261082404133805,0.0541012216404887,0.0561908795708033
30,0.00095186293173783,0.00201369311316955,0.00112946491599605
